"Column 1","Column 2"
1360,371.091605964054
1292,179.44683787853
1402,217.335833699027
1376,303.703884150213
1272,-52.0528136499302
1197,17.817232615289
1185,-38.7820599361246
1136,-2.75651473413297
1094,-104.767382259537
1010,-21.1916799349865
1011,-170.723167992637
1066,-370.169271139374
1052,-137.901363427423
1144,-38.9120467873915
1333,109.010590720608
1351,136.065092672783
1233,-131.855632596818
1179,52.9763359908577
1236,-75.955710009498
1286,133.892739497444
1371,84.3443294833091
1310,-7.2986234482951
1292,9.10814838096842
1383,136.33580812525
1581,171.29510253092
1776,595.017905153441
1640,531.397387675486
1313,235.584915031883
965,-351.584614517618
913,-178.817722922041
1080,-144.973343136436
1044,-0.546634345039536
988,-272.775218112185
889,-354.176326377139
831,-414.142822317575
847,-353.599610720564
927,-380.005421364687
1091,62.9139234854394
1587,384.489115562151
1545,326.611941019962
1350,69.4038224955062
1263,59.6876593823988
1206,262.312985814542
1252,-44.1212848075838
1287,146.925994117414
1353,113.025494314112
1309,85.9776572106635
1274,-45.6433576966447
1510,288.571326979243
1525,275.143388784053
1843,745.909938181605
1598,419.150443296545
1484,416.795550063398
1677,318.175824413477
1280,137.780030659596
1196,164.02979078255
1184,-157.813373232835
1172,16.9438796592979
1147,-215.582277659217
978,-262.827508155778
1100,-229.923359239448
1112,-83.7517740883159
1336,184.808548092512
1408,-31.7266596738774
1447,-46.7361715271826
1542,250.848822718899
1451,259.682270241203
1328,192.29778171844
1207,-96.0146209153747
1240,28.7997977687833
1306,127.036022155505
1326,81.2198431400956
1473,299.028831820081
1609,460.492083255021
1611,415.064614953403
1621,266.211883889639
1444,325.245803259281
1418,261.276586490053
1534,258.969728169821
1484,244.581980146124
1367,260.526911620046
1344,200.476589642723
1130,58.5681959021531
1062,-232.824338430105
1076,-149.820619986071
1028,-192.494122313806
1155,-42.3273248958144
1235,13.7979542877323
1332,-88.9558255666189
1445,441.986092211758
1416,-42.2567245005797
1281,189.672695574266
1207,66.1207967382852
1258,186.237592453346
1458,72.8733943592254
1438,242.975012868402
1478,322.157854963616
1808,691.102789092031
1898,928.191998201016
1560,456.755163852532
1324,32.2709154271398
1349,108.384143712969
1239,-22.2674852094843
1239,-65.5703695967484
1224,15.7610036096169
1078,-19.6379937572845
1078,-98.3820763217345
1075,-118.02716374767
1157,7.05473948533798
1314,41.5703504930964
1797,661.818187473849
1961,612.209567271922
1771,560.2458307119
1564,128.180832110758
1430,310.685203422021
1417,320.503175991265
1400,366.085612183562
1317,72.9489191951753
1318,125.724235009635
1445,291.446238573184
1917,725.826574848574
2040,668.163636549989
1895,798.308232995534
1595,347.243795873624
1439,183.746421548992
1142,35.2357898095882
1304,20.9359617402761
1074,-22.7373773257968
968,-247.425914868177
929,-353.876489582648
941,-316.835358763938
937,-261.845250077897
1017,-64.9006826471685
1171,-73.2331378012627
1541,355.170746411362
1539,379.836250259493
1735,581.817110471422
1571,406.15251851251
1452,149.522463460309
1579,506.459753788413
1466,388.784221228777
1280,159.637767614222
1407,297.295433976501
1389,232.804114012223
1447,396.948296787831
1551,329.727056684206
1474,417.885368302641
1800,474.335010548046
1379,136.02461483287
1201,-105.454384558829
1205,-119.783442752457
1072,-164.750401063339
998,-131.977120178329
933,-278.86278785311
883,-272.901386100664
869,-374.959287975024
891,-199.70293514613
1173,11.281015483279
1587,402.935892202992
1852,640.960454135603
1522,358.873975929653
1438,176.309220696123
1393,231.14859892211
1452,266.036346307655
1389,242.324060523197
1207,17.1397939476928
1365,273.569837965531
1247,111.489136703969
1557,490.942233422785
1973,827.092205809328
1975,865.248769816507
1795,642.781539511851
1444,187.303979953727
1488,84.6236820920388
1371,87.3708940241693
1161,28.9668649222956
1064,-140.206604156609
970,-363.396336350177
954,-273.713711928395
931,-81.8641366072035
938,-225.187387755981
1166,108.982193363533
1643,523.328464280409
1934,789.568978646649
1617,497.773640437337
1473,361.975699750478
1379,173.456908350907
1385,254.70215634698
1379,262.37787073762
1322,142.940669482762
1496,286.12379937567
1409,307.925820203344
1513,322.653737079073
1667,658.607148441012
1667,453.59111686304
1430,153.335759232827
1333,239.40531144677
1262,90.4593479165831
1287,110.280492447974
1134,-26.8012807155999
999,-261.11639176934
961,-117.610686824475
934,-41.138705651864
913,-14.9851185623439
969,-100.121912984922
1182,143.510504089884
1740,553.02851152192
1819,732.934776347164
1427,189.289624126487
1390,325.47752672021
1283,96.0763558710193
1304,252.008390808342
1364,87.8963799290151
1410,207.345520870878
1476,321.531973365199
1522,424.8513508362
1442,269.246689930646
1469,194.064638175006
1467,302.843498003367
1421,190.459094727679
1175,-144.711646903223
1215,70.0430828170486
1127,-27.5411341474075
1090,-124.885141120941
1017,24.2824257461541
997,-330.690222686509
945,-289.39897135862
956,-183.03202777792
966,-85.4167979641408
1064,-94.9569799061469
1300,13.7352573831098
1348,177.315918167304
1425,285.01857525417
1474,243.188347199096
1490,212.856571521467
1495,161.413129439056
1376,141.424823722786
1305,44.8164232842202
1283,77.4724764357441
1392,339.729875223017
1452,358.561899771884
1633,314.204270370722
1625,483.926713792403
1535,333.934778201612
1323,142.692969201706
1309,-14.6348311279047
1456,289.099265219052
1300,107.609563441992
1203,11.9809064514543
1195,22.7169423545753
1117,-216.787112464414
1062,52.4673658218735
947,-349.53480404835
1065,-36.664604057785
1155,17.4839744302373
1220,74.2396279080466
1301,242.105701150021
1279,98.901111218181
1267,-59.2387017070415
1239,38.8942593722425
1128,104.17215249865
1243,-66.3671415787718
1208,-3.05052088203941
1306,5.35752244695013
1546,361.662255838093
1501,320.004560675793
1605,422.024993965231
1316,288.320666147833
1195,-58.4376154879067
1211,-123.124980180808
1161,-12.7834250898756
1095,-148.500956189289
897,-387.170676826096
842,-448.502495577739
854,-391.926793196747
845,-117.142193346101
942,-231.985313604544
1090,-142.932730470374
1514,35.4534840344508
1379,126.411416777767
1074,-255.80053958905
1090,-226.697837792645
1110,-184.580496783305
1102,-19.5146344751608
1100,-93.8946118121438
1094,-42.3253001388984
1076,-187.144215650458
1152,60.1744610047964
1407,-10.2672052134762
1438,351.534141571007
1425,215.548320226362
1279,55.1189732714738
1132,-24.842119550511
1006,-191.367640353282
982,-298.629664795303
969,-215.427359418017
941,-117.801058817905
892,-346.278785743951
855,-194.900612092584
834,-399.358600194107
909,-304.175987376043
1061,-388.045837866285
